timestamp,ax,ay,az,gx,gy,gz
323975,-3.36,3.65,1.63,-2581.00,31796.00,-32768.00
324026,-5.14,5.89,1.79,4199.00,32767.00,-32767.00
324077,-3.24,6.80,1.67,32767.00,-3321.00,-32768.00
324128,5.27,-3.18,0.67,-29570.00,-32768.00,-32768.00
324179,5.33,-3.53,-0.04,-32766.00,32767.00,-32768.00
324230,4.90,-3.31,0.05,30548.00,-17404.00,-32768.00
324281,5.22,-3.39,0.33,-32768.00,-32768.00,-32768.00
324332,5.20,-3.43,0.63,-24895.00,32767.00,-32768.00
324383,4.95,-3.25,0.59,2520.00,-32768.00,-32768.00
324434,5.14,-3.30,0.56,-32646.00,-15354.00,-32768.00
324486,4.99,-3.39,0.59,-7861.00,15790.00,-32768.00
324537,5.04,-3.20,0.95,-21411.00,-32768.00,-32768.00
324588,5.05,-3.26,0.93,-32768.00,2558.00,-32768.00
324639,4.90,-3.28,0.70,-10467.00,-4466.00,-32768.00
324690,4.98,-3.18,0.81,-28953.00,-26561.00,-32768.00
324741,4.93,-3.25,0.71,-30531.00,4700.00,-32768.00
324792,4.88,-3.19,0.80,-14383.00,-15282.00,-32768.00
324843,4.93,-3.14,0.60,-31203.00,-17002.00,-32768.00
324894,4.79,-3.19,0.45,-25848.00,-888.00,-32768.00
324945,4.82,-3.16,0.60,-16132.00,-15843.00,-32768.00
324996,4.82,-3.13,0.50,-31845.00,-10696.00,-32768.00
325047,4.78,-3.16,0.51,-23089.00,-4579.00,-32768.00
325098,4.75,-3.10,0.67,-18446.00,-15702.00,-32768.00
325149,4.78,-3.13,0.55,-31498.00,-7255.00,-32768.00
325200,4.73,-3.07,0.76,-19877.00,-10277.00,-32768.00
325251,4.70,-3.11,0.65,-22413.00,-10749.00,-32768.00
325302,4.74,-3.07,0.55,-29281.00,-9129.00,-32768.00
325353,4.64,-3.05,0.69,-18936.00,-10067.00,-32768.00
325404,4.68,-3.08,0.51,-25752.00,-8799.00,-32768.00
325455,4.66,-3.01,0.58,-25442.00,-11841.00,-32768.00
325506,4.59,-3.07,0.66,-20213.00,-7131.00,-32768.00
325557,4.67,-3.02,0.56,-26989.00,-10541.00,-32768.00
325608,4.56,-2.98,0.75,-21766.00,-12095.00,-32768.00
325659,4.60,-3.05,0.52,-24005.00,-5889.00,-32768.00
325710,4.60,-2.94,0.63,-24960.00,-13189.00,-32768.00
325761,4.52,-3.04,0.88,-22541.00,-8284.00,-32768.00
325812,8.84,-2.33,6.85,32767.00,1952.00,-32768.00
325863,0.46,-0.42,-0.16,32762.00,25516.00,-32768.00
325914,0.41,-0.40,0.01,32767.00,-5388.00,-32768.00
325965,0.45,-0.33,0.05,20363.00,-30984.00,-32768.00
326016,0.52,-0.33,0.02,-6943.00,-32768.00,-32768.00
326067,0.53,-0.36,0.02,-31336.00,-30759.00,-32768.00
326118,-0.16,0.20,-0.20,6470.00,32635.00,-32768.00
326169,0.79,0.39,0.76,26321.00,26252.00,-32768.00
326220,-3.85,3.69,1.24,-32768.00,30125.00,-32768.00
326271,-0.59,-0.67,0.63,-31944.00,-22834.00,-32768.00
326322,0.23,-0.83,0.69,12002.00,-20705.00,-28353.00
326373,0.25,-0.36,0.50,30940.00,3816.00,-17324.00
326424,-0.32,0.24,1.04,-31939.00,31602.00,-500.00
326475,0.00,0.02,0.36,4589.00,10355.00,492.00
326526,0.19,0.09,1.12,2161.00,-495.00,-358.00
326577,-0.01,0.00,0.99,2.00,75.00,-52.00
326628,0.01,0.02,1.00,-3.00,27.00,11.00
326679,0.02,0.02,1.00,6.00,31.00,20.00
326730,0.02,0.02,1.00,-3.00,34.00,12.00
326781,0.02,0.02,1.00,8.00,33.00,11.00
326832,0.02,0.02,1.00,-4.00,40.00,16.00
326883,0.02,0.02,1.00,15.00,25.00,27.00
326934,0.01,0.02,1.00,9.00,27.00,6.00
326985,0.02,0.02,1.00,10.00,22.00,5.00
327036,0.02,0.02,1.00,-3.00,33.00,10.00
327087,0.02,0.02,1.00,8.00,21.00,17.00
