timestamp,ax,ay,az,gx,gy,gz
101649,2.85,2.20,1.70,23073.00,-32052.00,-29702.00
101700,5.91,7.40,2.94,32767.00,-32767.00,-32768.00
101751,8.15,8.99,0.03,-32768.00,-32768.00,-32768.00
101802,3.25,-2.15,-1.11,-32768.00,-32768.00,-32768.00
101853,2.88,-1.86,0.15,-32768.00,17235.00,-32768.00
101904,2.70,-2.15,0.09,30213.00,27410.00,-32768.00
101955,2.79,-1.78,0.36,20231.00,-32768.00,-32768.00
102006,2.91,-1.63,0.56,-26811.00,-32765.00,-32768.00
102057,2.74,-1.87,0.30,-22386.00,2352.00,-32768.00
102108,2.81,-1.95,0.56,4079.00,7138.00,-32768.00
102160,2.79,-1.70,0.63,3625.00,-23807.00,-32768.00
102211,2.68,-1.69,0.89,-11438.00,-22861.00,-32768.00
102262,2.71,-1.87,0.65,-7452.00,-2743.00,-32768.00
102313,2.82,-1.77,0.58,-3392.00,-14284.00,-32768.00
102364,2.71,-1.65,0.75,-10115.00,-19569.00,-32768.00
102415,2.62,-1.80,0.68,-7742.00,-7541.00,-32768.00
102466,2.74,-1.83,0.58,-3883.00,-6680.00,-32768.00
102517,2.73,-1.66,0.54,-6752.00,-18631.00,-32768.00
102568,2.61,-1.68,0.71,-9259.00,-15826.00,-32768.00
102619,2.64,-1.78,0.65,-6927.00,-9340.00,-32768.00
102670,2.70,-1.72,0.72,-3983.00,-12373.00,-32768.00
102721,2.61,-1.62,0.64,-5087.00,-16461.00,-32768.00
102772,2.59,-1.70,0.79,-8168.00,-15128.00,-32768.00
102823,2.63,-1.71,0.97,-5781.00,-14348.00,-32768.00
102874,2.64,-1.64,0.99,-3084.00,-11099.00,-32768.00
102925,2.56,-1.63,0.90,-7362.00,-13598.00,-32768.00
102976,2.57,-1.69,0.94,-8980.00,-15361.00,-32768.00
103027,2.61,-1.65,1.02,-3928.00,-12133.00,-32768.00
103078,2.55,-1.60,0.89,-3942.00,-10911.00,-32768.00
103129,2.51,-1.64,0.87,-7725.00,-13893.00,-32768.00
103180,2.56,-1.68,0.88,-7064.00,-13853.00,-32768.00
103231,2.57,-1.60,0.92,-5076.00,-11316.00,-32768.00
103282,2.47,-1.57,0.88,-6224.00,-11872.00,-32768.00
103333,2.46,-1.66,0.84,-7387.00,-12793.00,-32768.00
103384,2.54,-1.63,0.87,-5526.00,-12114.00,-32768.00
103435,2.50,-1.56,0.91,-4581.00,-10298.00,-32768.00
103486,2.44,-1.58,0.90,-7978.00,-12211.00,-32768.00
103537,2.47,-1.61,1.00,-6334.00,-14827.00,-32768.00
103588,2.49,-1.56,1.04,-3521.00,-10702.00,-32768.00
103639,2.42,-1.53,0.96,-6691.00,-10655.00,-32768.00
103690,2.40,-1.58,0.99,-8547.00,-13763.00,-32768.00
103741,2.44,-1.57,1.14,-3691.00,-13721.00,-32768.00
103792,2.42,-1.51,1.12,-3263.00,-10138.00,-32768.00
103843,-8.33,-4.82,3.03,-32469.00,28768.00,-32768.00
103894,0.25,-0.29,0.26,-1917.00,31857.00,-32768.00
103945,0.33,-0.30,-0.06,24056.00,32767.00,-32768.00
103996,-0.38,-0.05,0.19,30377.00,-21133.00,-32768.00
104047,0.18,-0.14,0.15,16262.00,-31725.00,-32768.00
104098,-0.65,-1.86,2.44,16517.00,-32768.00,-32768.00
104149,0.71,0.24,0.72,-26414.00,11924.00,-15133.00
104200,0.04,-0.27,0.77,5193.00,-12918.00,-9237.00
104251,-0.04,0.07,1.52,1044.00,7864.00,-482.00
104302,-0.02,0.06,1.14,742.00,3167.00,-266.00
104353,-0.04,0.04,1.01,87.00,335.00,26.00
104404,-0.02,0.02,1.01,2.00,56.00,2.00
104455,-0.01,0.02,1.01,7.00,28.00,24.00
104506,-0.02,0.02,1.01,13.00,28.00,26.00
104557,-0.01,0.02,1.01,30.00,37.00,30.00
104608,-0.02,0.02,1.01,-1.00,22.00,26.00
104659,-0.02,0.02,1.00,9.00,26.00,22.00
104710,-0.02,0.02,1.01,11.00,21.00,19.00
104761,-0.02,0.02,1.01,7.00,33.00,14.00
104812,-0.02,0.02,1.01,4.00,26.00,29.00
104863,-0.02,0.02,1.00,15.00,24.00,26.00
