timestamp,ax,ay,az,gx,gy,gz
383726,-2.46,-0.64,2.28,210.00,23153.00,-8122.00
383777,-6.16,-5.27,4.07,-32667.00,32767.00,-32732.00
383828,-3.70,-7.37,0.49,32767.00,32767.00,-32768.00
383879,1.18,-1.20,-0.64,32767.00,-1860.00,-32768.00
383930,1.43,-0.95,0.23,31870.00,-32635.00,-32768.00
383981,1.69,-1.08,-0.43,-32768.00,-32768.00,-32768.00
384032,1.62,-1.04,0.09,-32766.00,-6419.00,-32768.00
384083,1.56,-1.02,0.11,-29458.00,32767.00,-32768.00
384134,1.41,-1.16,0.09,27062.00,25816.00,-32768.00
384185,1.45,-0.95,0.87,25919.00,-29240.00,-32768.00
384237,1.54,-0.91,0.41,-15201.00,-32768.00,-32768.00
384288,1.53,-0.92,0.66,-32728.00,-15431.00,-32768.00
384339,1.50,-0.98,0.43,-30143.00,15236.00,-32768.00
384390,1.46,-1.01,0.58,-2561.00,6693.00,-32768.00
384441,1.46,-0.93,0.87,5068.00,-17456.00,-32768.00
384492,1.47,-0.92,0.63,-10680.00,-23013.00,-32768.00
384543,1.48,-0.93,0.67,-27844.00,-8405.00,-32768.00
384594,1.46,-0.96,0.58,-25391.00,3854.00,-32768.00
384645,1.44,-0.98,0.64,-10239.00,-263.00,-32768.00
384696,1.44,-0.94,0.75,-2639.00,-9238.00,-32768.00
384747,1.43,-0.92,0.70,-9614.00,-11575.00,-32768.00
384798,1.47,-0.95,0.87,-23521.00,-4337.00,-32768.00
384849,1.49,-0.93,0.84,-26369.00,-3661.00,-32768.00
384900,1.45,-0.90,0.93,-13938.00,-6933.00,-32768.00
384951,1.42,-0.91,1.09,-3289.00,-6296.00,-32768.00
385002,1.41,-0.93,0.98,-8537.00,-2847.00,-32768.00
385053,1.46,-0.92,0.97,-21967.00,-5032.00,-32768.00
385104,1.47,-0.89,0.94,-22767.00,-10160.00,-32768.00
385155,1.42,-0.88,1.04,-11435.00,-9179.00,-32768.00
385206,1.39,-0.90,1.06,-5936.00,-3127.00,-32768.00
385257,1.44,-0.92,1.13,-13770.00,-1550.00,-32768.00
385308,-4.37,-0.28,6.43,30238.00,3468.00,-32768.00
385359,0.76,-0.42,-0.88,-31150.00,32698.00,-32768.00
385410,0.90,-0.67,0.04,-1504.00,32767.00,-32768.00
385461,0.85,-0.68,-0.05,22002.00,10354.00,-32768.00
385512,0.83,-0.57,-0.00,18275.00,-24550.00,-32768.00
385563,3.86,4.15,1.78,-11658.00,-32618.00,-32768.00
385614,0.87,-0.58,-0.08,-32768.00,32767.00,-32768.00
385665,0.39,-0.38,-0.01,-32768.00,-31689.00,-32768.00
385716,0.26,-0.17,-0.02,13058.00,-14720.00,-32768.00
385767,0.41,-0.22,0.13,4497.00,-23200.00,-32768.00
385818,0.26,-0.10,-0.00,-13561.00,30073.00,-32768.00
385869,0.51,0.94,0.96,-14735.00,26768.00,-32768.00
385920,1.59,-0.59,2.63,1604.00,3731.00,-12846.00
385971,0.29,0.18,0.60,3499.00,-11271.00,-2258.00
386022,0.07,-0.11,0.93,2785.00,4606.00,-41.00
386073,0.10,-0.00,1.04,-226.00,-341.00,34.00
386124,0.07,0.00,1.00,19.00,24.00,21.00
386175,0.07,0.01,1.00,18.00,36.00,22.00
386226,0.06,0.00,1.00,11.00,35.00,17.00
386277,0.07,0.01,1.00,19.00,31.00,19.00
386328,0.07,0.01,1.00,29.00,32.00,15.00
386379,0.07,0.01,1.00,26.00,34.00,25.00
386430,0.06,0.01,1.00,5.00,26.00,9.00
386481,0.06,0.01,0.99,8.00,27.00,18.00
386532,0.07,0.01,1.00,17.00,30.00,8.00
386583,0.07,0.01,1.00,22.00,25.00,27.00
